NDWI,NDSI,Turbidity_Index,Chlorophyll_Concentration,Evapotranspiration_Index,true_color_satimage,Year,Month,Day,Location
-0.33219847,-0.41535988,0.66568255,2.0070899,0.20070899,0.57426673,2022,04,15,Ganges_River_India
-0.42480287,-0.44384542,0.47731203,3.4713416,0.35381013,0.47066432,2022,03,16,Ganges_River_India
-0.386059,-0.44557738,0.58426964,2.623554,0.26241136,0.52083117,2022,03,31,Ganges_River_India
-0.48724672,-0.4440744,0.38454783,3.62179,0.44451487,0.44771132,2023,03,01,Ganges_River_India
-0.39359123,-0.42414933,0.4952749,3.3490252,0.3375467,0.47301587,2021,10,27,Ganges_River_India
-0.52497315,-0.42723382,0.31389335,2.983777,0.52219355,0.4429921,2021,02,24,Ganges_River_India
-0.30965787,-0.39518592,0.700526,1.7610554,0.17610669,0.5960267,2021,04,20,Ganges_River_India
-0.3719593,-0.434954,0.61151737,2.410478,0.24106637,0.5251938,2022,04,05,Ganges_River_India
-0.5380954,-0.36898822,0.26433584,1.9567791,0.58185816,0.45268294,2020,02,05,Ganges_River_India
-0.5118879,-0.33235237,0.27549076,2.3042378,0.5680239,0.4933336,2022,01,30,Ganges_River_India
-0.3597614,-0.4098186,0.6006199,2.4950094,0.24951589,0.5357383,2020,04,05,Ganges_River_India
-0.33248442,-0.2905857,0.4916565,3.395362,0.34079126,0.55070126,2021,10,22,Ganges_River_India
-0.4912692,-0.41232228,0.3595611,3.082562,0.471063,0.45641556,2021,03,01,Ganges_River_India
-0.28650692,-0.36395377,0.63716406,2.2153535,0.22162467,0.55913675,2022,11,16,Ganges_River_India
-0.3999414,-0.43885666,0.5285996,3.0817165,0.3083871,0.49513233,2020,10,27,Ganges_River_India
-0.34768137,-0.43811923,0.6629039,2.02134,0.20271531,0.5523411,2022,05,10,Ganges_River_India
-0.522293,-0.40401924,0.3125,3.9447162,0.52380955,0.46452174,2023,02,19,Ganges_River_India
-0.50783,-0.4039858,0.32223928,3.243568,0.5125855,0.45430323,2022,03,01,Ganges_River_India
-0.3818795,-0.3975739,0.51520985,3.0773811,0.31994918,0.49361724,2023,12,16,Ganges_River_India
-0.29448605,-0.40735072,0.65579903,2.0780654,0.20787603,0.5242258,2020,11,11,Ganges_River_India
-0.5532304,-0.38931888,0.25964785,2.5471563,0.5877453,0.45135218,2023,02,09,Ganges_River_India
-0.40565062,-0.44031617,0.5061009,3.2310967,0.3279323,0.46043533,2023,10,27,Ganges_River_India
-0.3657049,-0.43422183,0.5670248,2.7441099,0.27630398,0.5050595,2021,11,01,Ganges_River_India
-0.3013475,-0.39629102,0.64723873,2.141416,0.21415314,0.5667654,2020,05,15,Ganges_River_India
-0.47210065,-0.41063893,0.35330397,4.642533,0.47786456,0.4796746,2023,10,12,Ganges_River_India
-0.55851364,-0.38061696,0.25654924,1.5494912,0.5916606,0.44764146,2020,02,10,Ganges_River_India
-0.2911442,-0.36486593,0.6734593,1.9498026,0.19512916,0.61309224,2022,05,25,Ganges_River_India
-0.38254565,-0.38339022,0.48263156,2.8740034,0.3489528,0.4675477,2019,10,13,Ganges_River_India
-0.26440862,-0.3657212,0.6735778,1.9499304,0.19504455,0.5584037,2021,11,21,Ganges_River_India
-0.29728818,-0.36941335,0.6532841,2.094228,0.20971349,0.61161387,2023,06,04,Ganges_River_India
-0.3648069,-0.44948953,0.65371203,2.094004,0.20940039,0.5524725,2022,04,30,Ganges_River_India
-0.30399692,-0.39925915,0.623628,2.3166351,0.2318092,0.50178045,2021,12,06,Ganges_River_India
-0.3234136,-0.37897277,0.61924046,2.3488286,0.235147,0.59001255,2023,05,20,Ganges_River_India
-0.42585298,-0.4355828,0.46772859,3.4729345,0.36264974,0.47940144,2023,03,11,Ganges_River_India
-0.34959713,-0.40405267,0.64633435,2.1480877,0.21482007,0.57428473,2021,04,05,Ganges_River_India
-0.32724506,-0.40344295,0.63325846,2.2436924,0.22454596,0.5675031,2023,04,05,Ganges_River_India
-0.35443905,-0.37888828,0.5306032,3.04049,0.30667442,0.52194947,2023,12,11,Ganges_River_India
-0.3994645,-0.45307553,0.6027515,2.4784086,0.24785408,0.49897006,2021,03,31,Ganges_River_India
-0.26373625,-0.32922935,0.66439205,2.0156837,0.20163995,0.57039577,2020,12,01,Ganges_River_India
-0.5224885,-0.39496636,0.29911202,3.3977404,0.5395131,0.45860004,2021,02,04,Ganges_River_India
-0.53805107,-0.3641008,0.2570731,2.0738559,0.5909974,0.44897646,2020,01,31,Ganges_River_India
-0.27272725,-0.3558808,0.7015968,1.7508233,0.17536658,0.6382578,2022,06,19,Ganges_River_India
-0.52615225,-0.3409091,0.27476454,2.3383145,0.5689172,0.48697844,2022,02,14,Ganges_River_India
-0.37003216,-0.40222138,0.5591668,2.8270628,0.28273642,0.53195035,2020,03,31,Ganges_River_India
-0.3806752,-0.38705817,0.50585026,3.0333962,0.3281533,0.49402827,2020,12,26,Ganges_River_India
